file_number,office,shift_granted,admission_date,condition,shift_date,egress_date,technical,detail
p-30419/19,integridad sexual,si,9/8/2019,archivado,,14/8/2019,lo,retira aux. adriana rio
p-724242/19,san martin,si,,se cae turno,,,,
p-5515/19 tercera,delitos economicos,si,14/8/2019,archivado,,27/8/2019,ev,retira aux. claudia pagliarulo de ufi econ�micos
p-105226/18,delitos economicos,si,,se cae turno,,,lo,no lo trajeron
p-152295/17,integridad sexual,no,5/8/2019,archivado,,7/8/2019,cn,se env�a informe por mail y se archiva una copia en el oficio de pedido. tambien se le copio al aux odorizi
p-720403/19,"robos, hurtos y sustraccion automotores",no,12/6/2019,archivado,,13/6/2019,lo,entregado en mesa de entradas de ufi robos y hurtos
p-724016/19,"robos, hurtos y sustraccion automotores",si,12/8/2019,archivado,,21/8/2019,lo,entregado en mesa de entradas de ufi robos y hurtos
p-737665/19,"robos, hurtos y sustraccion automotores",si,13/8/2019,archivado,,21/8/2019,jv,retira aux. mar�a fernanda aguilar
p-727803/19 segundo tunro,oficina fiscal santa rosa,si,,se cae turno,,,,
p-733859/19,delitos economicos,si,15/8/2019,archivado,,22/8/2019,cn,recibe aux mariana beard
p-718198-19,"robos, hurtos y sustraccion automotores",si,9/8/2019,archivado,,22/8/2019,jv,retira aux. nerina ortega de ufi robos y hurtos
p-735680/19,automotores,si,12/8/2019,archivado,,9/10/2019,ev,retira aisha gonzalez
p-90630/18,no especializados,si,14/8/2019,archivado,,26/9/2019,lo,retira luis echenique
p-736416/19,alvear,si,5/9/2019,archivado,,8/10/2019,cn,retira juan pablo mart�nez
p-736121/19,san rafael,si,15/8/2019,archivado,,5/9/2019,lo,"se deben entregar 7 celulares, restan dos notebook (por cuerda separada), retira solo celulares juan pablo martinez"
p-712598/19,san rafael,si,15/8/2019,archivado,,5/9/2019,lo,retira juan pablo mart�nez
p-738443/19,valle de uco,si,,turno otorgado,,,,
p-871/19 segunda,integridad sexual,si,21/8/2019,archivado,,23/8/2019,lo,retira aux. de delitos contra la integridad sexual
p-28287/19,automotores,si,22/8/2019,archivado,,29/8/2019,jv,retira pro secretaria jorgelina sanchez de esa ufi
p-733729/19,automotores,si,21/8/2019,archivado,,27/8/2019,ev,retira aux bruno nardecchia de automotores a las 11:55 hs
p-2113/19,homicidios,si,,turno otorgado,,,,
 ,san martin,si,8/10/2019,archivado,,12/12/2019,lo,retira ariel morcos
p-720304/19,violencia genero,si,20/8/2019,archivado,,27/8/2019,jv,retira aux. noelia fernandez de violencia de g�nero
p-739072/19,automotores,si,23/8/2019,archivado,,29/8/2019,lo,retira pro secretaria jorgelina sanchez  de esa ufi 
p-14895/17,rivadavia-junin,si,,se cae turno,,,,
p-715169/19 segunda,integridad sexual,si,,se cae turno,,,,no traen secuestro/ se pide deje sin efecto
p-721383/19,integridad sexual,si,23/8/2019,archivado,,29/8/2019,lo,retira aux. eliana hidalgo
p-725813/19 segunda,homicidios,si,23/8/2019,falta comenzar,,,,
p-741357/19,"robos, hurtos y sustraccion automotores",si,23/8/2019,archivado,,16/9/2019,ev,retira aux. adriana de robos y hurtos
p-729959/19 segundo,violencia genero,si,23/8/2019,archivado,,26/9/2019,cn,retira aux. gonzalo bustos de ufi violencia
p-738626/19,san rafael,no,22/8/2019,archivado,,5/9/2019,ev,retira juan pablo mart�nez
p-736880/19,delitos economicos,no,,archivado,,23/8/2019,lo,retira lucero gabriela de esa unidad fiscal/ descarga archivos de google drive y grabado en dvd
p-29570/19,automotores,si,27/8/2019,archivado,,9/10/2019,lo,retira aux. aisha gonz�lez
p-742624/19,"robos, hurtos y sustraccion automotores",si,28/8/2019,archivado,,2/10/2019,lo,retira aux. nerina ortega
p-740507/19,correccional,si,27/8/2019,archivado,,19/12/2019,jv,entregado en mesa de entrada ufi correccional
p-742852/19,"robos, hurtos y sustraccion automotores",si,30/8/2019,archivado,,2/9/2019,lo,entregado en mesa de entradas de ufi robos y hurtos
p-727781/19,integridad sexual,si,28/8/2019,archivado,,4/9/2019,ev,retira aux. federico simonovich
p-5515/19 cuarto,delitos economicos,si,29/8/2019,archivado,,18/9/2019,lo,retira auxiliar claudia pagliarulo
p-18703/19 y n� 217/19,2da fiscal�a penal menores,si,29/8/2019,archivado,,4/9/2019,ev,retira nanci bonfanti de fiscal�a penal de menores a las 10:30 hs
p-88363/18,automotores,si,2/9/2019,archivado,,9/10/2019,lo,retira auxiliar aisha gonz�lez
p-733771/19,integridad sexual,si,2/9/2019,archivado,,10/9/2019,ev,retira aux. pablo ca�ada
p-14895/17 segundo,rivadavia-junin,si,3/9/2019,archivado,,19/9/2019,ev,retira aux. ariel morcos
p-735354/19 copia extracci�n,"robos, hurtos y sustraccion automotores",no,30/8/2019,archivado,,30/8/2019,ev,retira federico ragno auxiliar administrativo de esa unidad
p-721726/19,delitos economicos,si,13/9/2019,archivado,,20/11/2019,ev,entregado en mesa de entradas de esa ufi a carla piazza
p-742299/19,contravencional 2,si,2/9/2019,archivado,,9/9/2019,ev,retira aux. leonardo schunk
p-744656/19,"robos, hurtos y sustraccion automotores",si ,3/9/2019,archivado,,2/10/2019,lo,retira aux. nerina ortega
p-715327/19,integridad sexual,si,4/9/2019,archivado,,30/9/2019,lo,retira aux. ca�adas
p-743214/19,homicidios,si,4/9/2019,archivado,,13/9/2019,jv,retira aux. gabriela girala
p-742717/19,homicidios,si,27/8/2019,archivado,,2/9/2019,lo,retira aux. aquiles torres
p-27654/19,violencia genero,si,4/9/2019,archivado,,19/9/2019,jv,retira auxiliar gonzalo bustos
p-724256/19,integridad sexual,si,3/9/2019,archivado,,11/9/2019,lo,retira aux. gonzalo cobos
p-745724/19,santa rosa,no,3/9/2019,archivado,,19/9/2019,lo,retira aux. ariel morcos
fmz 17759/19,primer juzgado federal,si,10/9/2019,archivado,,27/12/2019,ev,retira jesus rodriguez de gendarmer�a nacioal
p-128378/17 segundo,ogap 2,si,4/9/2019,archivado,,13/9/2019,cn,retira maria ferreria -auxiliar tribunal penal colegiado nro. 02
p-737954/19,"robos, hurtos y sustraccion automotores",si,9/9/2019,archivado,,2/10/2019,jv,retira aux. nerina ortega
p-742987/19,integridad sexual,si,10/9/2019,archivado,,1/10/2019,lo,retira aux. federico simonovich
p-742998/19,integridad sexual,si,10/9/2019,archivado,,1/10/2019,lo,retira aux. federico simonovich
p-740279/19,san rafael,no,5/9/2019,archivado,,19/9/2019,lo,retira juan pablo martinez 
p-741803/19,san rafael,no,5/9/2019,archivado,,19/9/2019,jv,retira juan pablo martinez 
p-18703/19 y n� 217/19,2da fiscal�a penal menores,no,5/9/2019,archivado,,,ev,se genera reporte en pdf por pedido. 
p-725111/19,alvear,si,12/9/2019,archivado,,26/9/2019,lo,retira juan pablo martinez 
fmz-32948/19,primer juzgado federal a,si,6/9/2019,archivado,,16/9/2019,ev,retira personal de juzgado federal n� 01. sr. g�mez
p-740194/19,"robos, hurtos y sustraccion automotores",si,16/9/2019,archivado,,20/11/2019,ev,retira auziliar griselda escobedo de la ufi de homidicios
p-27478/19,violencia genero,si,16/9/2019,archivado,,26/9/2019,lo,retira gonzalo bustos de ufi violencia
p-87794/18 segundo,integridad sexual,si,16/9/2019,archivado,,23/9/2019,lo,retira. aux. pablo ca�adas
p-747021/19,valle de uco,si,18/9/2019,archivado,,30/9/2019,ev,retira aux. rodrigo bincheta de ufi valle de uco
p-746201/19,homicidios,no,9/9/2019,archivado,,17/9/2019,ev,"retira dr. oscar malla, ayudante fiscal"
p-740828/19,santa rosa,si,13/9/2019,archivado,,24/9/2019,lo,retira ayudante fiscal dr. hannoun
p-709950/19,no,si,29/10/2019,archivado,,7/11/2019,cn,retira aux. ariel morcos
p-742717/19 segundo,homicidios,si,19/9/2019,archivado,,2/10/2019,jv,retira aquiles torres
p-743459/19,no especializados,si,,turno otorgado,,,,
